year,period,sector,role_family,role,occupation_proxy,historical_role_status,ict_employment,ict_employment_share_pct,total_employment,labour_force_participation_rate_pct,employment_to_population_ratio_pct,unemployment_rate_pct,tertiary_employment_count,role_demand_index,role_share_within_ict_pct,role_employment_proxy,emergence_year,data_basis,synthetic_flag,target_role_demand_index_1y,target_role_demand_index_2y,target_role_demand_6m,note_6m,role_encoded,years_since_emergence,trend_position,share_lag1,share_change_1y,share_change_2y,share_accel,share_growth_rate,target_share_1y,sample_weight
2014,annual,ICT,Data & Analytics,Data Scientist,ICT professionals (proxy),historical proxy only,15810.0,0.62,2550000.0,28.5,22.8,20.0,1190000.0,0.3,0.059,9.3,2020,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.28,0.27,,No sub-annual data available,4,0,0.25,0.072,-0.012999999999999998,-0.016,-0.009999999999999995,-0.22033898305084743,0.055,0.06392786120670757
2015,annual,ICT,Data & Analytics,Data Scientist,ICT professionals (proxy),historical proxy only,19988.0,0.76,2630000.0,29.2,23.7,19.0,1270000.0,0.28,0.055,11.0,2020,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.27,0.28,,No sub-annual data available,4,0,0.3125,0.059,-0.003999999999999997,-0.016999999999999994,0.009000000000000001,-0.07272727272727267,0.049,0.0820849986238988
2016,annual,ICT,Data & Analytics,Data Scientist,ICT professionals (proxy),historical proxy only,25745.0,0.95,2710000.0,30.0,24.6,18.0,1370000.0,0.27,0.049,12.6,2020,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.28,0.28,,No sub-annual data available,4,0,0.375,0.055,-0.005999999999999998,-0.009999999999999995,-0.0020000000000000018,-0.12244897959183669,0.047,0.10539922456186433
2017,annual,ICT,Data & Analytics,Data Scientist,ICT professionals (proxy),historical proxy only,43414.0,1.45,2989249.0,31.1,25.7,17.3,1521482.0,0.28,0.047,20.4,2020,NISR Labour Force Survey microdata,1,0.28,0.26,,No sub-annual data available,4,0,0.4375,0.049,-0.0020000000000000018,-0.008,0.003999999999999997,-0.04255319148936174,0.043,0.1353352832366127
2018,annual,ICT,Data & Analytics,Data Scientist,ICT professionals (proxy),historical proxy only,69289.0,2.16,3207336.0,31.8,27.0,15.1,1667810.0,0.28,0.043,29.8,2020,NISR Labour Force Survey microdata,1,0.26,8.28,,No sub-annual data available,4,0,0.5,0.047,-0.0040000000000000036,-0.006000000000000005,-0.0020000000000000018,-0.09302325581395358,0.039,0.17377394345044514
2019,annual,ICT,Data & Analytics,Data Scientist,ICT professionals (proxy),historical proxy only,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,0.26,0.039,37.8,2020,NISR Labour Force Survey microdata,1,8.28,9.9,,No sub-annual data available,4,0,0.5625,0.043,-0.003999999999999997,-0.008,6.938893903907228e-18,-0.10256410256410248,1.204,0.22313016014842982
2020,annual,ICT,Data & Analytics,Data Scientist,ICT professionals (proxy),trackable analytical role,91821.0,2.63,3495187.0,34.1,28.0,17.9,1810012.0,8.28,1.204,1105.5,2020,NISR Labour Force Survey microdata,1,9.9,11.81,,No sub-annual data available,4,0,0.625,0.039,1.165,1.161,1.169,0.967607973421927,1.429,0.2865047968601901
2021,annual,ICT,Data & Analytics,Data Scientist,ICT professionals (proxy),trackable analytical role,54640.0,1.65,3308800.0,32.8,25.9,21.1,1534993.0,9.9,1.429,780.8,2020,NISR Labour Force Survey microdata,1,11.81,13.44,,No sub-annual data available,4,1,0.6875,1.204,0.2250000000000001,1.3900000000000001,-0.94,0.15745276417074883,1.658,0.36787944117144233
2022,annual,ICT,Data & Analytics,Data Scientist,ICT professionals (proxy),trackable analytical role,85785.0,2.4,3568275.0,34.4,27.3,20.7,1658214.0,11.81,1.658,1422.3,2020,NISR Labour Force Survey microdata,1,13.44,14.35,,No sub-annual data available,4,2,0.75,1.429,0.22899999999999987,0.45399999999999996,0.0039999999999997815,0.13811821471652586,1.825,0.4723665527410147
2023,annual,ICT,Data & Analytics,Data Scientist,ICT professionals (proxy),trackable analytical role,136289.0,3.42,3985164.0,36.1,29.8,17.3,1981482.0,13.44,1.825,2487.3,2020,NISR Labour Force Survey microdata,1,14.35,15.1,,No sub-annual data available,4,3,0.8125,1.658,0.16700000000000004,0.3959999999999999,-0.06199999999999983,0.09150684931506851,1.924,0.6065306597126334
2024,annual,ICT,Data & Analytics,Data Scientist,ICT professionals (proxy),trackable analytical role,180399.0,4.01,4501393.0,38.7,33.0,14.9,2366916.0,14.35,1.924,3470.9,2020,NISR Labour Force Survey microdata,1,15.1,17.9,,No sub-annual data available,4,4,0.875,1.825,0.09899999999999998,0.266,-0.06800000000000006,0.051455301455301444,2.039,0.7788007830714049
2025,annual,ICT,Data & Analytics,Data Scientist,ICT professionals (proxy),trackable analytical role,213208.0,4.4,4846623.0,39.6,34.7,12.4,2593752.0,15.1,2.039,4347.3,2020,NISR Labour Force Survey microdata,1,17.9,,,No sub-annual data available,4,5,0.9375,1.924,0.11500000000000021,0.2140000000000002,0.016000000000000236,0.05640019617459549,1.971,1.0
2010,annual,ICT,Data & Database,Database Administrator,Database designers and administrators,trackable analytical role,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,36.51,8.335,468.8,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,36.51,37.56,,No sub-annual data available,5,0,0.0,0.0,0.0,0.0,0.0,0.0,8.435,0.023517745856009107
2011,annual,ICT,Data & Database,Database Administrator,Database designers and administrators,trackable analytical role,7440.0,0.32,2325000.0,27.0,21.3,21.5,1000000.0,36.51,8.435,627.6,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,37.56,38.17,,No sub-annual data available,5,1,0.0625,8.335,0.09999999999999964,0.0,0.0,0.011855364552459946,8.644,0.0301973834223185
2012,annual,ICT,Data & Database,Database Administrator,Database designers and administrators,trackable analytical role,9600.0,0.4,2400000.0,27.5,21.7,21.0,1060000.0,37.56,8.644,829.8,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,38.17,37.41,,No sub-annual data available,5,2,0.125,8.435,0.20899999999999963,0.3089999999999993,0.10899999999999999,0.024178621008792183,8.679,0.03877420783172201
2013,annual,ICT,Data & Database,Database Administrator,Database designers and administrators,trackable analytical role,12375.0,0.5,2475000.0,28.0,22.3,20.5,1120000.0,38.17,8.679,1074.0,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,37.41,36.42,,No sub-annual data available,5,3,0.1875,8.644,0.03500000000000014,0.24399999999999977,-0.1739999999999995,0.004032722663901388,7.415,0.049787068367863944
2014,annual,ICT,Data & Database,Database Administrator,Database designers and administrators,trackable analytical role,15810.0,0.62,2550000.0,28.5,22.8,20.0,1190000.0,37.41,7.415,1172.3,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,36.42,36.64,,No sub-annual data available,5,4,0.25,8.679,-1.2640000000000002,-1.229,-1.2990000000000004,-0.17046527309507759,7.23,0.06392786120670757
2015,annual,ICT,Data & Database,Database Administrator,Database designers and administrators,trackable analytical role,19988.0,0.76,2630000.0,29.2,23.7,19.0,1270000.0,36.42,7.23,1445.1,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,36.64,37.74,,No sub-annual data available,5,5,0.3125,7.415,-0.1849999999999996,-1.4489999999999998,1.0790000000000006,-0.02558782849239275,6.67,0.0820849986238988
2016,annual,ICT,Data & Database,Database Administrator,Database designers and administrators,trackable analytical role,25745.0,0.95,2710000.0,30.0,24.6,18.0,1370000.0,36.64,6.67,1717.2,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,37.74,38.13,,No sub-annual data available,5,6,0.375,7.23,-0.5600000000000005,-0.7450000000000001,-0.3750000000000009,-0.08395802098950532,6.429,0.10539922456186433
2017,annual,ICT,Data & Database,Database Administrator,Database designers and administrators,trackable analytical role,43414.0,1.45,2989249.0,31.1,25.7,17.3,1521482.0,37.74,6.429,2791.1,2010,NISR Labour Force Survey microdata,1,38.13,37.2,,No sub-annual data available,5,7,0.4375,6.67,-0.24099999999999966,-0.8010000000000002,0.31900000000000084,-0.03748638979623575,5.93,0.1353352832366127
2018,annual,ICT,Data & Database,Database Administrator,Database designers and administrators,trackable analytical role,69289.0,2.16,3207336.0,31.8,27.0,15.1,1667810.0,38.13,5.93,4108.8,2010,NISR Labour Force Survey microdata,1,37.2,36.35,,No sub-annual data available,5,8,0.5,6.429,-0.49900000000000055,-0.7400000000000002,-0.2580000000000009,-0.08414839797639133,5.503,0.17377394345044514
2019,annual,ICT,Data & Database,Database Administrator,Database designers and administrators,trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,37.2,5.503,5336.9,2010,NISR Labour Force Survey microdata,1,36.35,36.8,,No sub-annual data available,5,9,0.5625,5.93,-0.4269999999999996,-0.9260000000000002,0.07200000000000095,-0.07759403961475551,5.288,0.22313016014842982
2020,annual,ICT,Data & Database,Database Administrator,Database designers and administrators,trackable analytical role,91821.0,2.63,3495187.0,34.1,28.0,17.9,1810012.0,36.35,5.288,4855.5,2010,NISR Labour Force Survey microdata,1,36.8,37.9,,No sub-annual data available,5,10,0.625,5.503,-0.21499999999999986,-0.6419999999999995,0.21199999999999974,-0.04065809379727683,5.31,0.2865047968601901
2021,annual,ICT,Data & Database,Database Administrator,Database designers and administrators,trackable analytical role,54640.0,1.65,3308800.0,32.8,25.9,21.1,1534993.0,36.8,5.31,2901.4,2010,NISR Labour Force Survey microdata,1,37.9,38.05,,No sub-annual data available,5,11,0.6875,5.288,0.021999999999999353,-0.1930000000000005,0.2369999999999992,0.004143126177024361,5.319,0.36787944117144233
2022,annual,ICT,Data & Database,Database Administrator,Database designers and administrators,trackable analytical role,85785.0,2.4,3568275.0,34.4,27.3,20.7,1658214.0,37.9,5.319,4562.9,2010,NISR Labour Force Survey microdata,1,38.05,37.01,,No sub-annual data available,5,12,0.75,5.31,0.009000000000000341,0.030999999999999694,-0.012999999999999012,0.0016920473773266293,5.166,0.4723665527410147
2023,annual,ICT,Data & Database,Database Administrator,Database designers and administrators,trackable analytical role,136289.0,3.42,3985164.0,36.1,29.8,17.3,1981482.0,38.05,5.166,7040.7,2010,NISR Labour Force Survey microdata,1,37.01,36.33,,No sub-annual data available,5,13,0.8125,5.319,-0.15299999999999958,-0.14399999999999924,-0.16199999999999992,-0.029616724738675874,4.963,0.6065306597126334
2024,annual,ICT,Data & Database,Database Administrator,Database designers and administrators,trackable analytical role,180399.0,4.01,4501393.0,38.7,33.0,14.9,2366916.0,37.01,4.963,8953.2,2010,NISR Labour Force Survey microdata,1,36.33,39.2,,No sub-annual data available,5,14,0.875,5.166,-0.2030000000000003,-0.35599999999999987,-0.05000000000000071,-0.04090267983074759,4.905,0.7788007830714049
2025,annual,ICT,Data & Database,Database Administrator,Database designers and administrators,trackable analytical role,213208.0,4.4,4846623.0,39.6,34.7,12.4,2593752.0,36.33,4.905,10457.9,2010,NISR Labour Force Survey microdata,1,39.2,,,No sub-annual data available,5,15,0.9375,4.963,-0.05799999999999983,-0.2610000000000001,0.14500000000000046,-0.011824668705402615,4.326,1.0
2010,annual,ICT,Cloud & DevOps,DevOps / Cloud Engineer,Systems/network/software occupations (proxy),historical proxy only,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,0.21,0.048,2.7,2019,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.18,0.16,,No sub-annual data available,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.023517745856009107
2011,annual,ICT,Cloud & DevOps,DevOps / Cloud Engineer,Systems/network/software occupations (proxy),historical proxy only,7440.0,0.32,2325000.0,27.0,21.3,21.5,1000000.0,0.18,0.042,3.1,2019,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.16,0.16,,No sub-annual data available,6,0,0.0625,0.048,-0.005999999999999998,0.0,0.0,-0.14285714285714282,0.038,0.0301973834223185
2012,annual,ICT,Cloud & DevOps,DevOps / Cloud Engineer,Systems/network/software occupations (proxy),historical proxy only,9600.0,0.4,2400000.0,27.5,21.7,21.0,1060000.0,0.16,0.038,3.6,2019,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.16,0.16,,No sub-annual data available,6,0,0.125,0.042,-0.0040000000000000036,-0.010000000000000002,0.001999999999999995,-0.10526315789473693,0.037,0.03877420783172201
2013,annual,ICT,Cloud & DevOps,DevOps / Cloud Engineer,Systems/network/software occupations (proxy),historical proxy only,12375.0,0.5,2475000.0,28.0,22.3,20.5,1120000.0,0.16,0.037,4.6,2019,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.16,0.15,,No sub-annual data available,6,0,0.1875,0.038,-0.0010000000000000009,-0.0050000000000000044,0.0030000000000000027,-0.027027027027027053,0.032,0.049787068367863944
2014,annual,ICT,Cloud & DevOps,DevOps / Cloud Engineer,Systems/network/software occupations (proxy),historical proxy only,15810.0,0.62,2550000.0,28.5,22.8,20.0,1190000.0,0.16,0.032,5.1,2019,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.15,0.14,,No sub-annual data available,6,0,0.25,0.037,-0.0049999999999999975,-0.005999999999999998,-0.003999999999999997,-0.15624999999999992,0.03,0.06392786120670757
2015,annual,ICT,Cloud & DevOps,DevOps / Cloud Engineer,Systems/network/software occupations (proxy),historical proxy only,19988.0,0.76,2630000.0,29.2,23.7,19.0,1270000.0,0.15,0.03,6.0,2019,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.14,0.14,,No sub-annual data available,6,0,0.3125,0.032,-0.0020000000000000018,-0.006999999999999999,0.0029999999999999957,-0.06666666666666674,0.026,0.0820849986238988
2016,annual,ICT,Cloud & DevOps,DevOps / Cloud Engineer,Systems/network/software occupations (proxy),historical proxy only,25745.0,0.95,2710000.0,30.0,24.6,18.0,1370000.0,0.14,0.026,6.7,2019,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.14,0.14,,No sub-annual data available,6,0,0.375,0.03,-0.004,-0.006000000000000002,-0.0019999999999999983,-0.15384615384615385,0.024,0.10539922456186433
2017,annual,ICT,Cloud & DevOps,DevOps / Cloud Engineer,Systems/network/software occupations (proxy),historical proxy only,43414.0,1.45,2989249.0,31.1,25.7,17.3,1521482.0,0.14,0.024,10.4,2019,NISR Labour Force Survey microdata,1,0.14,4.73,,No sub-annual data available,6,0,0.4375,0.026,-0.0019999999999999983,-0.005999999999999998,0.0020000000000000018,-0.08333333333333326,0.022,0.1353352832366127
2018,annual,ICT,Cloud & DevOps,DevOps / Cloud Engineer,Systems/network/software occupations (proxy),historical proxy only,69289.0,2.16,3207336.0,31.8,27.0,15.1,1667810.0,0.14,0.022,15.2,2019,NISR Labour Force Survey microdata,1,4.73,5.46,,No sub-annual data available,6,0,0.5,0.024,-0.0020000000000000018,-0.004,-3.469446951953614e-18,-0.090909090909091,0.7,0.17377394345044514
2019,annual,ICT,Cloud & DevOps,DevOps / Cloud Engineer,Systems/network/software occupations (proxy),trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,4.73,0.7,678.9,2019,NISR Labour Force Survey microdata,1,5.46,6.04,,No sub-annual data available,6,0,0.5625,0.022,0.6779999999999999,0.6759999999999999,0.6799999999999999,0.9685714285714285,0.794,0.22313016014842982
2020,annual,ICT,Cloud & DevOps,DevOps / Cloud Engineer,Systems/network/software occupations (proxy),trackable analytical role,91821.0,2.63,3495187.0,34.1,28.0,17.9,1810012.0,5.46,0.794,729.1,2019,NISR Labour Force Survey microdata,1,6.04,6.82,,No sub-annual data available,6,1,0.625,0.7,0.09400000000000008,0.772,-0.5839999999999999,0.11838790931989934,0.872,0.2865047968601901
2021,annual,ICT,Cloud & DevOps,DevOps / Cloud Engineer,Systems/network/software occupations (proxy),trackable analytical role,54640.0,1.65,3308800.0,32.8,25.9,21.1,1534993.0,6.04,0.872,476.5,2019,NISR Labour Force Survey microdata,1,6.82,7.82,,No sub-annual data available,6,2,0.6875,0.794,0.07799999999999996,0.17200000000000004,-0.016000000000000125,0.08944954128440362,0.957,0.36787944117144233
2022,annual,ICT,Cloud & DevOps,DevOps / Cloud Engineer,Systems/network/software occupations (proxy),trackable analytical role,85785.0,2.4,3568275.0,34.4,27.3,20.7,1658214.0,6.82,0.957,821.0,2019,NISR Labour Force Survey microdata,1,7.82,8.59,,No sub-annual data available,6,3,0.75,0.872,0.08499999999999996,0.16299999999999992,0.007000000000000006,0.0888192267502612,1.061,0.4723665527410147
2023,annual,ICT,Cloud & DevOps,DevOps / Cloud Engineer,Systems/network/software occupations (proxy),trackable analytical role,136289.0,3.42,3985164.0,36.1,29.8,17.3,1981482.0,7.82,1.061,1446.0,2019,NISR Labour Force Survey microdata,1,8.59,8.93,,No sub-annual data available,6,4,0.8125,0.957,0.10399999999999998,0.18899999999999995,0.019000000000000017,0.09802073515551366,1.152,0.6065306597126334
2024,annual,ICT,Cloud & DevOps,DevOps / Cloud Engineer,Systems/network/software occupations (proxy),trackable analytical role,180399.0,4.01,4501393.0,38.7,33.0,14.9,2366916.0,8.59,1.152,2078.2,2019,NISR Labour Force Survey microdata,1,8.93,38.1,,No sub-annual data available,6,5,0.875,1.061,0.09099999999999997,0.19499999999999995,-0.013000000000000012,0.07899305555555554,1.206,0.7788007830714049
2025,annual,ICT,Cloud & DevOps,DevOps / Cloud Engineer,Systems/network/software occupations (proxy),trackable analytical role,213208.0,4.4,4846623.0,39.6,34.7,12.4,2593752.0,8.93,1.206,2571.3,2019,NISR Labour Force Survey microdata,1,38.1,,,No sub-annual data available,6,6,0.9375,1.152,0.05400000000000005,0.14500000000000002,-0.03699999999999992,0.044776119402985114,4.207,1.0
2010,annual,ICT,Software & Web Development,Frontend / Web Developer,Web and multimedia developers / applications programmers,historical proxy only,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,1.65,0.377,21.2,2014,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,1.44,1.31,,No sub-annual data available,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.023517745856009107
2011,annual,ICT,Software & Web Development,Frontend / Web Developer,Web and multimedia developers / applications programmers,historical proxy only,7440.0,0.32,2325000.0,27.0,21.3,21.5,1000000.0,1.44,0.333,24.8,2014,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,1.31,1.26,,No sub-annual data available,7,0,0.0625,0.377,-0.043999999999999984,0.0,0.0,-0.13213213213213207,0.302,0.0301973834223185
2012,annual,ICT,Software & Web Development,Frontend / Web Developer,Web and multimedia developers / applications programmers,historical proxy only,9600.0,0.4,2400000.0,27.5,21.7,21.0,1060000.0,1.31,0.302,29.0,2014,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,1.26,40.11,,No sub-annual data available,7,0,0.125,0.333,-0.031000000000000028,-0.07500000000000001,0.012999999999999956,-0.10264900662251665,0.286,0.03877420783172201
2013,annual,ICT,Software & Web Development,Frontend / Web Developer,Web and multimedia developers / applications programmers,historical proxy only,12375.0,0.5,2475000.0,28.0,22.3,20.5,1120000.0,1.26,0.286,35.4,2014,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,40.11,43.33,,No sub-annual data available,7,0,0.1875,0.302,-0.016000000000000014,-0.04700000000000004,0.015000000000000013,-0.055944055944056,7.951,0.049787068367863944
2014,annual,ICT,Software & Web Development,Frontend / Web Developer,Web and multimedia developers / applications programmers,trackable analytical role,15810.0,0.62,2550000.0,28.5,22.8,20.0,1190000.0,40.11,7.951,1257.1,2014,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,43.33,44.67,,No sub-annual data available,7,0,0.25,0.286,7.665,7.649,7.681,0.9640296818010313,8.603,0.06392786120670757
2015,annual,ICT,Software & Web Development,Frontend / Web Developer,Web and multimedia developers / applications programmers,trackable analytical role,19988.0,0.76,2630000.0,29.2,23.7,19.0,1270000.0,43.33,8.603,1719.6,2014,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,44.67,45.98,,No sub-annual data available,7,1,0.3125,7.951,0.6520000000000001,8.317,-7.013,0.07578751598279672,8.132,0.0820849986238988
2016,annual,ICT,Software & Web Development,Frontend / Web Developer,Web and multimedia developers / applications programmers,trackable analytical role,25745.0,0.95,2710000.0,30.0,24.6,18.0,1370000.0,44.67,8.132,2093.6,2014,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,45.98,48.24,,No sub-annual data available,7,2,0.375,8.603,-0.4710000000000001,0.18100000000000005,-1.1230000000000002,-0.057919331037875076,7.832,0.10539922456186433
2017,annual,ICT,Software & Web Development,Frontend / Web Developer,Web and multimedia developers / applications programmers,trackable analytical role,43414.0,1.45,2989249.0,31.1,25.7,17.3,1521482.0,45.98,7.832,3400.2,2014,NISR Labour Force Survey microdata,1,48.24,50.32,,No sub-annual data available,7,3,0.4375,8.132,-0.2999999999999998,-0.7709999999999999,0.17100000000000026,-0.03830439223697649,7.502,0.1353352832366127
2018,annual,ICT,Software & Web Development,Frontend / Web Developer,Web and multimedia developers / applications programmers,trackable analytical role,69289.0,2.16,3207336.0,31.8,27.0,15.1,1667810.0,48.24,7.502,5198.1,2014,NISR Labour Force Survey microdata,1,50.32,50.69,,No sub-annual data available,7,4,0.5,7.832,-0.33000000000000007,-0.6299999999999999,-0.03000000000000025,-0.04398826979472142,7.443,0.17377394345044514
2019,annual,ICT,Software & Web Development,Frontend / Web Developer,Web and multimedia developers / applications programmers,trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,50.32,7.443,7218.4,2014,NISR Labour Force Survey microdata,1,50.69,50.04,,No sub-annual data available,7,5,0.5625,7.502,-0.05900000000000016,-0.38900000000000023,0.2709999999999999,-0.00792691119172379,7.374,0.22313016014842982
2020,annual,ICT,Software & Web Development,Frontend / Web Developer,Web and multimedia developers / applications programmers,trackable analytical role,91821.0,2.63,3495187.0,34.1,28.0,17.9,1810012.0,50.69,7.374,6770.9,2014,NISR Labour Force Survey microdata,1,50.04,50.22,,No sub-annual data available,7,6,0.625,7.443,-0.06899999999999995,-0.1280000000000001,-0.009999999999999787,-0.009357200976403574,7.22,0.2865047968601901
2021,annual,ICT,Software & Web Development,Frontend / Web Developer,Web and multimedia developers / applications programmers,trackable analytical role,54640.0,1.65,3308800.0,32.8,25.9,21.1,1534993.0,50.04,7.22,3945.0,2014,NISR Labour Force Survey microdata,1,50.22,51.74,,No sub-annual data available,7,7,0.6875,7.374,-0.15399999999999991,-0.22299999999999986,-0.08499999999999996,-0.021329639889196665,7.049,0.36787944117144233
2022,annual,ICT,Software & Web Development,Frontend / Web Developer,Web and multimedia developers / applications programmers,trackable analytical role,85785.0,2.4,3568275.0,34.4,27.3,20.7,1658214.0,50.22,7.049,6047.0,2014,NISR Labour Force Survey microdata,1,51.74,52.93,,No sub-annual data available,7,8,0.75,7.22,-0.17099999999999937,-0.3249999999999993,-0.01699999999999946,-0.02425876010781662,7.024,0.4723665527410147
2023,annual,ICT,Software & Web Development,Frontend / Web Developer,Web and multimedia developers / applications programmers,trackable analytical role,136289.0,3.42,3985164.0,36.1,29.8,17.3,1981482.0,51.74,7.024,9572.9,2014,NISR Labour Force Survey microdata,1,52.93,52.44,,No sub-annual data available,7,9,0.8125,7.049,-0.025000000000000355,-0.19599999999999973,0.14599999999999902,-0.0035592255125285245,7.098,0.6065306597126334
2024,annual,ICT,Software & Web Development,Frontend / Web Developer,Web and multimedia developers / applications programmers,trackable analytical role,180399.0,4.01,4501393.0,38.7,33.0,14.9,2366916.0,52.93,7.098,12804.7,2014,NISR Labour Force Survey microdata,1,52.44,56.9,,No sub-annual data available,7,10,0.875,7.024,0.07399999999999984,0.04899999999999949,0.0990000000000002,0.01042547196393348,7.08,0.7788007830714049
2025,annual,ICT,Software & Web Development,Frontend / Web Developer,Web and multimedia developers / applications programmers,trackable analytical role,213208.0,4.4,4846623.0,39.6,34.7,12.4,2593752.0,52.44,7.08,15095.1,2014,NISR Labour Force Survey microdata,1,56.9,,,No sub-annual data available,7,11,0.9375,7.098,-0.017999999999999794,0.05600000000000005,-0.09199999999999964,-0.002542372881355903,6.283,1.0
2010,annual,ICT,Software Development,Full-Stack Developer,Software developers / applications programmers,historical proxy only,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,1.41,0.322,18.1,2018,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,1.22,1.11,,No sub-annual data available,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.282,0.023517745856009107
2011,annual,ICT,Software Development,Full-Stack Developer,Software developers / applications programmers,historical proxy only,7440.0,0.32,2325000.0,27.0,21.3,21.5,1000000.0,1.22,0.282,21.0,2018,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,1.11,1.08,,No sub-annual data available,8,0,0.0625,0.322,-0.040000000000000036,0.0,0.0,-0.14184397163120582,0.256,0.0301973834223185
2012,annual,ICT,Software Development,Full-Stack Developer,Software developers / applications programmers,historical proxy only,9600.0,0.4,2400000.0,27.5,21.7,21.0,1060000.0,1.11,0.256,24.6,2018,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,1.08,1.07,,No sub-annual data available,8,0,0.125,0.282,-0.025999999999999968,-0.066,0.014000000000000068,-0.10156249999999988,0.245,0.03877420783172201
2013,annual,ICT,Software Development,Full-Stack Developer,Software developers / applications programmers,historical proxy only,12375.0,0.5,2475000.0,28.0,22.3,20.5,1120000.0,1.08,0.245,30.3,2018,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,1.07,1.02,,No sub-annual data available,8,0,0.1875,0.256,-0.01100000000000001,-0.03699999999999998,0.014999999999999958,-0.04489795918367351,0.211,0.049787068367863944
2014,annual,ICT,Software Development,Full-Stack Developer,Software developers / applications programmers,historical proxy only,15810.0,0.62,2550000.0,28.5,22.8,20.0,1190000.0,1.07,0.211,33.4,2018,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,1.02,0.96,,No sub-annual data available,8,0,0.25,0.245,-0.034,-0.04500000000000001,-0.022999999999999993,-0.16113744075829387,0.202,0.06392786120670757
2015,annual,ICT,Software Development,Full-Stack Developer,Software developers / applications programmers,historical proxy only,19988.0,0.76,2630000.0,29.2,23.7,19.0,1270000.0,1.02,0.202,40.4,2018,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.96,0.93,,No sub-annual data available,8,0,0.3125,0.211,-0.00899999999999998,-0.04299999999999998,0.025000000000000022,-0.044554455445544455,0.174,0.0820849986238988
2016,annual,ICT,Software Development,Full-Stack Developer,Software developers / applications programmers,historical proxy only,25745.0,0.95,2710000.0,30.0,24.6,18.0,1370000.0,0.96,0.174,44.8,2018,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.93,30.91,,No sub-annual data available,8,0,0.375,0.202,-0.028000000000000025,-0.037000000000000005,-0.019000000000000045,-0.16091954022988522,0.159,0.10539922456186433
2017,annual,ICT,Software Development,Full-Stack Developer,Software developers / applications programmers,historical proxy only,43414.0,1.45,2989249.0,31.1,25.7,17.3,1521482.0,0.93,0.159,69.0,2018,NISR Labour Force Survey microdata,1,30.91,35.0,,No sub-annual data available,8,0,0.4375,0.174,-0.014999999999999986,-0.04300000000000001,0.01300000000000004,-0.09433962264150934,4.807,0.1353352832366127
2018,annual,ICT,Software Development,Full-Stack Developer,Software developers / applications programmers,trackable analytical role,69289.0,2.16,3207336.0,31.8,27.0,15.1,1667810.0,30.91,4.807,3330.7,2018,NISR Labour Force Survey microdata,1,35.0,36.82,,No sub-annual data available,8,0,0.5,0.159,4.648000000000001,4.633,4.663,0.9669232369461203,5.177,0.17377394345044514
